venue,format,matches,completed_matches,no_results,ties,draws,batting_first_matches,batting_first_wins,batting_first_win_pct,bowling_first_matches,bowling_first_wins,bowling_first_win_pct,innings_count,total_runs,first_innings_count,first_innings_total_runs,second_innings_count,second_innings_total_runs,total_bowler_wickets,fast_wickets,medium_wickets,off_spin_wickets,leg_spin_wickets,unknown_wickets,avg_score,max_score,min_score,avg_first_innings_score,max_first_innings_score,min_first_innings_score,avg_second_innings_score,max_second_innings_score,min_second_innings_score,fast_wicket_pct,medium_wicket_pct,off_spin_wicket_pct,leg_spin_wicket_pct,pace_wicket_pct,spin_wicket_pct
"MA Aziz Stadium, Chittagong",T20,7,7,0,0,0,5,5,100.0,2,2,100.0,14,2035,7,1070,7,965,103,0,0,0,0,103,145.36,213,88,152.86,213,122,137.86,209,88,0.0,0.0,0.0,0.0,0.0,0.0
"MA Aziz Stadium, Chittagong",Test,1,1,0,0,0,1,1,100.0,0,0,0.0,4,909,1,326,1,152,34,0,0,0,0,34,227.25,326,138,326.0,326,326,152.0,152,152,0.0,0.0,0.0,0.0,0.0,0.0
MA Chidambaram Stadium,T20,9,9,0,0,0,4,4,100.0,5,5,100.0,18,2563,9,1355,9,1208,100,0,0,0,0,100,142.39,205,70,150.56,202,70,134.22,205,71,0.0,0.0,0.0,0.0,0.0,0.0
MA Chidambaram Stadium,Test,3,2,0,0,1,2,2,100.0,0,0,0.0,12,3197,3,1142,3,847,110,0,0,0,0,110,266.42,578,19,380.67,578,235,282.33,376,134,0.0,0.0,0.0,0.0,0.0,0.0
"MA Chidambaram Stadium, Chepauk",ODI,14,14,0,0,0,8,8,100.0,6,6,100.0,28,6313,14,3328,14,2985,213,0,0,0,0,213,225.46,337,69,237.71,337,69,213.21,318,72,0.0,0.0,0.0,0.0,0.0,0.0
"MA Chidambaram Stadium, Chepauk",T20,54,53,0,1,0,35,35,100.0,18,18,100.0,110,16895,54,8872,54,8004,637,0,0,0,0,637,153.59,246,9,164.3,246,103,148.22,223,80,0.0,0.0,0.0,0.0,0.0,0.0
"MA Chidambaram Stadium, Chepauk",Test,4,3,0,0,1,0,0,0.0,3,3,100.0,14,5439,4,1713,4,2199,117,0,0,0,0,117,388.5,759,50,428.25,540,316,549.75,759,241,0.0,0.0,0.0,0.0,0.0,0.0
"MA Chidambaram Stadium, Chepauk, Chennai",ODI,5,4,1,0,0,1,1,100.0,3,3,100.0,9,2092,5,1124,4,968,67,0,0,0,0,67,232.44,271,141,224.8,270,141,242.0,271,201,0.0,0.0,0.0,0.0,0.0,0.0
"MA Chidambaram Stadium, Chepauk, Chennai",T20,50,48,1,1,0,21,21,100.0,27,27,100.0,101,16197,50,8513,49,7669,603,0,0,0,0,603,160.37,256,7,170.26,256,84,156.51,213,88,0.0,0.0,0.0,0.0,0.0,0.0
"MA Chidambaram Stadium, Chepauk, Chennai",Test,2,2,0,0,0,2,2,100.0,0,0,0.0,8,2325,2,979,2,415,60,0,0,0,0,60,290.62,603,37,489.5,603,376,207.5,266,149,0.0,0.0,0.0,0.0,0.0,0.0
Madhavrao Scindia Cricket Ground,ODI,4,4,0,0,0,3,3,100.0,1,1,100.0,8,2343,4,1254,4,1089,60,0,0,0,0,60,292.88,414,196,313.5,414,196,272.25,411,197,0.0,0.0,0.0,0.0,0.0,0.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",T20,10,10,0,0,0,5,5,100.0,5,5,100.0,20,3184,10,1630,10,1554,143,0,0,0,0,143,159.2,219,95,163.0,219,101,155.4,201,95,0.0,0.0,0.0,0.0,0.0,0.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",ODI,2,2,0,0,0,1,1,100.0,1,1,100.0,4,1045,2,573,2,472,29,0,0,0,0,29,261.25,292,190,286.5,292,281,236.0,282,190,0.0,0.0,0.0,0.0,0.0,0.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",T20,8,8,0,0,0,4,4,100.0,4,4,100.0,16,3356,8,1755,8,1601,95,0,0,0,0,95,209.75,254,162,219.38,254,162,200.12,228,162,0.0,0.0,0.0,0.0,0.0,0.0
Maharani Usharaje Trust Cricket Ground,ODI,2,2,0,0,0,1,1,100.0,1,1,100.0,4,1107,2,580,2,527,32,0,0,0,0,32,276.75,292,238,290.0,292,288,263.5,289,238,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra Cricket Association Stadium,ODI,7,7,0,0,0,4,4,100.0,3,3,100.0,14,4119,7,2149,7,1970,108,0,0,0,0,108,294.21,356,230,307.0,350,230,281.43,356,232,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra Cricket Association Stadium,T20,24,24,0,0,0,9,9,100.0,15,15,100.0,48,7537,24,3963,24,3574,289,0,0,0,0,289,157.02,211,73,165.12,211,73,148.92,198,78,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra Cricket Association Stadium,Test,2,2,0,0,0,2,2,100.0,0,0,0.0,7,1822,2,861,2,380,65,0,0,0,0,65,260.29,601,105,430.5,601,260,190.0,275,105,0.0,0.0,0.0,0.0,0.0,0.0
"Maharashtra Cricket Association Stadium, Pune",ODI,4,4,0,0,0,2,2,100.0,2,2,100.0,8,2172,4,1258,4,914,54,0,0,0,0,54,271.5,357,167,314.5,357,256,228.5,307,167,0.0,0.0,0.0,0.0,0.0,0.0
"Maharashtra Cricket Association Stadium, Pune",T20,19,19,0,0,0,15,15,100.0,4,4,100.0,38,6119,19,3284,19,2835,264,0,0,0,0,264,161.03,210,82,172.84,210,144,149.21,190,82,0.0,0.0,0.0,0.0,0.0,0.0
"Maharashtra Cricket Association Stadium, Pune",Test,1,1,0,0,0,1,1,100.0,0,0,0.0,4,915,1,259,1,156,40,0,0,0,0,40,228.75,259,156,259.0,259,259,156.0,156,156,0.0,0.0,0.0,0.0,0.0,0.0
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",ODI,23,20,3,0,0,9,9,100.0,11,11,100.0,44,9919,23,5777,21,4142,294,0,0,0,0,294,225.43,368,13,251.17,368,33,197.24,312,13,0.0,0.0,0.0,0.0,0.0,0.0
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",T20,7,7,0,0,0,5,5,100.0,2,2,100.0,14,1636,7,915,7,721,84,0,0,0,0,84,116.86,182,46,130.71,182,78,103.0,164,46,0.0,0.0,0.0,0.0,0.0,0.0
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",ODI,6,6,0,0,0,1,1,100.0,5,5,100.0,12,2315,6,1232,6,1083,78,0,0,0,0,78,192.92,275,92,205.33,275,92,180.5,275,93,0.0,0.0,0.0,0.0,0.0,0.0
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",T20,35,33,1,1,0,16,16,100.0,17,17,100.0,71,10623,35,5632,34,4963,430,0,0,0,0,430,149.62,219,12,160.91,219,42,145.97,219,62,0.0,0.0,0.0,0.0,0.0,0.0
Mainpower Oval,T20,1,1,0,0,0,1,1,100.0,0,0,0.0,2,331,1,174,1,157,14,0,0,0,0,14,165.5,174,157,174.0,174,174,157.0,157,157,0.0,0.0,0.0,0.0,0.0,0.0
Malahide,ODI,4,3,1,0,0,2,2,100.0,1,1,100.0,7,1545,4,971,3,574,49,0,0,0,0,49,220.71,344,154,242.75,344,157,191.33,238,154,0.0,0.0,0.0,0.0,0.0,0.0
"Malahide, Dublin",T20,2,2,0,0,0,1,1,100.0,1,1,100.0,4,523,2,324,2,199,22,0,0,0,0,22,130.75,185,47,162.0,185,139,99.5,152,47,0.0,0.0,0.0,0.0,0.0,0.0
"Malek Cricket Ground, Ajman",T20,4,4,0,0,0,2,2,100.0,2,2,100.0,8,814,4,432,4,382,45,0,0,0,0,45,101.75,131,62,108.0,131,62,95.5,120,64,0.0,0.0,0.0,0.0,0.0,0.0
Malkerns Country Club oval,T20,13,11,1,1,0,7,7,100.0,4,4,100.0,27,4112,13,2206,12,1879,155,0,0,0,0,155,152.3,222,13,169.69,222,27,156.58,222,93,0.0,0.0,0.0,0.0,0.0,0.0
Mangaung Oval,ODI,5,4,0,1,0,2,2,100.0,2,2,100.0,10,2345,5,1304,5,1041,74,0,0,0,0,74,234.5,399,78,260.8,399,166,208.2,274,78,0.0,0.0,0.0,0.0,0.0,0.0
Mangaung Oval,T20,3,3,0,0,0,3,3,100.0,0,0,0.0,6,781,3,428,3,353,32,0,0,0,0,32,130.17,195,41,142.67,195,64,117.67,175,41,0.0,0.0,0.0,0.0,0.0,0.0
Mangaung Oval,Test,1,1,0,0,0,1,1,100.0,0,0,0.0,3,892,1,573,1,147,24,0,0,0,0,24,297.33,573,147,573.0,573,573,147.0,147,147,0.0,0.0,0.0,0.0,0.0,0.0
"Mangaung Oval, Bloemfontein",ODI,5,5,0,0,0,3,3,100.0,2,2,100.0,10,2849,5,1514,5,1335,80,0,0,0,0,80,284.9,392,222,302.8,392,222,267.0,347,223,0.0,0.0,0.0,0.0,0.0,0.0
"Mangaung Oval, Bloemfontein",T20,11,10,1,0,0,5,5,100.0,5,5,100.0,21,3010,11,1627,10,1383,121,0,0,0,0,121,143.33,185,86,147.91,185,86,138.3,171,92,0.0,0.0,0.0,0.0,0.0,0.0
"Mangaung Oval, Bloemfontein",Test,1,1,0,0,0,1,1,100.0,0,0,0.0,4,976,1,395,1,281,38,0,0,0,0,38,244.0,395,64,395.0,395,395,281.0,281,281,0.0,0.0,0.0,0.0,0.0,0.0
Mannofield Park,ODI,8,8,0,0,0,3,3,100.0,5,5,100.0,16,3074,8,1620,8,1454,119,0,0,0,0,119,192.12,242,133,202.5,242,167,181.75,234,133,0.0,0.0,0.0,0.0,0.0,0.0
"Mannofield Park, Aberdeen",ODI,5,5,0,0,0,2,2,100.0,3,3,100.0,10,2486,5,1313,5,1173,85,0,0,0,0,85,248.6,301,168,262.6,295,249,234.6,301,168,0.0,0.0,0.0,0.0,0.0,0.0
Manuka Oval,ODI,9,9,0,0,0,8,8,100.0,1,1,100.0,18,5241,9,2973,9,2268,127,0,0,0,0,127,291.17,411,119,330.33,411,226,252.0,323,119,0.0,0.0,0.0,0.0,0.0,0.0
Manuka Oval,T20,35,33,1,1,0,14,14,100.0,19,19,100.0,72,10286,35,5611,35,4657,415,0,0,0,0,415,142.86,219,8,160.31,219,68,133.06,181,40,0.0,0.0,0.0,0.0,0.0,0.0
Manuka Oval,Test,1,1,0,0,0,1,1,100.0,0,0,0.0,4,1094,1,534,1,215,27,0,0,0,0,27,273.5,534,149,534.0,534,534,215.0,215,215,0.0,0.0,0.0,0.0,0.0,0.0
"Manuka Oval, Canberra",ODI,2,2,0,0,0,1,1,100.0,1,1,100.0,4,556,2,291,2,265,31,0,0,0,0,31,139.0,205,86,145.5,205,86,132.5,178,87,0.0,0.0,0.0,0.0,0.0,0.0
"Manuka Oval, Canberra",T20,19,17,2,0,0,7,7,100.0,10,10,100.0,37,5331,19,2820,18,2511,217,0,0,0,0,217,144.08,200,30,148.42,200,95,139.5,183,30,0.0,0.0,0.0,0.0,0.0,0.0
"Manuka Oval, Canberra",Test,1,0,0,0,1,0,0,0.0,0,0,0.0,4,1095,1,337,1,297,35,0,0,0,0,35,273.75,337,216,337.0,337,337,297.0,297,297,0.0,0.0,0.0,0.0,0.0,0.0
"Maple Leaf North-East Ground, King City",T20,4,4,0,0,0,4,4,100.0,0,0,0.0,8,1299,4,790,4,509,57,0,0,0,0,57,162.38,236,110,197.5,236,163,127.25,145,110,0.0,0.0,0.0,0.0,0.0,0.0
Maple Leaf North-West Ground,ODI,4,3,1,0,0,1,1,100.0,2,2,100.0,8,957,4,524,4,433,51,0,0,0,0,51,119.62,201,62,131.0,201,67,108.25,184,62,0.0,0.0,0.0,0.0,0.0,0.0
Maple Leaf North-West Ground,T20,2,2,0,0,0,0,0,0.0,2,2,100.0,4,543,2,269,2,274,28,0,0,0,0,28,135.75,141,132,134.5,137,132,137.0,141,133,0.0,0.0,0.0,0.0,0.0,0.0
"Maple Leaf North-West Ground, King City",ODI,14,13,1,0,0,5,5,100.0,8,8,100.0,27,5519,14,2887,13,2632,208,0,0,0,0,208,204.41,276,15,206.21,276,15,202.46,276,109,0.0,0.0,0.0,0.0,0.0,0.0
"Maple Leaf North-West Ground, King City",T20,17,17,0,0,0,9,9,100.0,8,8,100.0,34,3895,17,2154,17,1741,204,0,0,0,0,204,114.56,205,39,126.71,205,52,102.41,145,39,0.0,0.0,0.0,0.0,0.0,0.0
"Mardyke, Cork",T20,16,16,0,0,0,6,6,100.0,10,10,100.0,32,4710,16,2535,16,2175,213,0,0,0,0,213,147.19,236,66,158.44,236,76,135.94,169,66,0.0,0.0,0.0,0.0,0.0,0.0
"Marina Ground, Corfu",T20,13,13,0,0,0,6,6,100.0,7,7,100.0,26,2486,13,1437,13,1049,144,0,0,0,0,144,95.62,177,53,110.54,177,55,80.69,119,53,0.0,0.0,0.0,0.0,0.0,0.0
Marrara Cricket Ground,ODI,3,3,0,0,0,2,2,100.0,1,1,100.0,6,886,3,569,3,317,44,0,0,0,0,44,147.67,254,74,189.67,254,117,105.67,125,74,0.0,0.0,0.0,0.0,0.0,0.0
"Marrara Cricket Ground, Darwin",ODI,1,1,0,0,0,1,1,100.0,0,0,0.0,2,396,1,254,1,142,17,0,0,0,0,17,198.0,254,142,254.0,254,254,142.0,142,142,0.0,0.0,0.0,0.0,0.0,0.0
"Marrara Cricket Ground, Darwin",Test,1,1,0,0,0,0,0,0.0,1,1,100.0,3,682,1,97,1,407,27,0,0,0,0,27,227.33,407,97,97.0,97,97,407.0,407,407,0.0,0.0,0.0,0.0,0.0,0.0
"Marrara Stadium, Darwin",T20,2,2,0,0,0,2,2,100.0,0,0,0.0,4,722,2,396,2,326,36,0,0,0,0,36,180.5,218,161,198.0,218,178,163.0,165,161,0.0,0.0,0.0,0.0,0.0,0.0
"Marrara Stadium, Darwin",Test,1,1,0,0,0,0,0,0.0,1,1,100.0,4,965,1,198,1,426,31,0,0,0,0,31,241.25,426,57,198.0,198,198,426.0,426,426,0.0,0.0,0.0,0.0,0.0,0.0
Marsa Sports Club,T20,69,68,0,1,0,28,28,100.0,40,40,100.0,140,20572,69,10877,69,9674,856,0,0,0,0,856,146.94,258,9,157.64,258,50,140.2,205,30,0.0,0.0,0.0,0.0,0.0,0.0
McLean Park,ODI,18,17,0,1,0,8,8,100.0,9,9,100.0,36,9156,18,5058,18,4098,251,0,0,0,0,251,254.33,373,156,281.0,373,157,227.67,340,156,0.0,0.0,0.0,0.0,0.0,0.0
McLean Park,T20,16,16,0,0,0,11,11,100.0,5,5,100.0,32,5086,16,2853,16,2233,208,0,0,0,0,208,158.94,241,88,178.31,241,88,139.56,207,89,0.0,0.0,0.0,0.0,0.0,0.0
McLean Park,Test,4,2,0,0,2,2,2,100.0,0,0,0.0,14,4647,4,1590,4,995,117,0,0,0,0,117,331.93,619,51,397.5,619,223,248.75,471,51,0.0,0.0,0.0,0.0,0.0,0.0
"McLean Park, Napier",ODI,6,4,2,0,0,2,2,100.0,2,2,100.0,11,2098,6,1247,5,851,76,0,0,0,0,76,190.73,344,14,207.83,344,98,170.2,271,14,0.0,0.0,0.0,0.0,0.0,0.0
"McLean Park, Napier",T20,20,19,0,1,0,7,7,100.0,12,12,100.0,40,5273,20,2775,20,2498,253,0,0,0,0,253,131.82,190,75,138.75,190,75,124.9,175,75,0.0,0.0,0.0,0.0,0.0,0.0
"Meersen, Gent",T20,5,5,0,0,0,2,2,100.0,3,3,100.0,10,1218,5,620,5,598,65,0,0,0,0,65,121.8,154,77,124.0,154,77,119.6,143,78,0.0,0.0,0.0,0.0,0.0,0.0
Melbourne Cricket Ground,ODI,40,39,1,0,0,18,18,100.0,21,21,100.0,79,18959,40,10289,39,8670,579,0,0,0,0,579,239.99,355,77,257.23,355,159,222.31,308,77,0.0,0.0,0.0,0.0,0.0,0.0
Melbourne Cricket Ground,T20,112,110,1,1,0,43,43,100.0,67,67,100.0,225,32012,112,16868,111,15116,1360,0,0,0,0,1360,142.28,273,9,150.61,273,74,136.18,186,27,0.0,0.0,0.0,0.0,0.0,0.0
Melbourne Cricket Ground,Test,23,21,0,0,2,10,10,100.0,11,11,100.0,84,23212,23,7542,23,7873,744,0,0,0,0,744,276.33,624,68,327.91,551,98,342.3,624,110,0.0,0.0,0.0,0.0,0.0,0.0
Mercantile Cricket Association Ground,T20,1,1,0,0,0,0,0,0.0,1,1,100.0,2,268,1,132,1,136,7,0,0,0,0,7,134.0,136,132,132.0,132,132,136.0,136,136,0.0,0.0,0.0,0.0,0.0,0.0
Merchant Taylors' School Ground,T20,2,2,0,0,0,1,1,100.0,1,1,100.0,4,671,2,357,2,314,26,0,0,0,0,26,167.75,198,151,178.5,198,159,157.0,163,151,0.0,0.0,0.0,0.0,0.0,0.0
"Merchant Taylors' School Ground, Northwood",T20,8,8,0,0,0,5,5,100.0,3,3,100.0,16,2745,8,1434,8,1311,100,0,0,0,0,100,171.56,238,116,179.25,238,124,163.88,209,116,0.0,0.0,0.0,0.0,0.0,0.0
"Merrion Cricket Club Ground, Dublin",T20,2,2,0,0,0,0,0,0.0,2,2,100.0,4,552,2,275,2,277,24,0,0,0,0,24,138.0,158,118,137.5,157,118,138.5,158,119,0.0,0.0,0.0,0.0,0.0,0.0
"Mission Road Ground, Mong Kok",ODI,3,3,0,0,0,2,2,100.0,1,1,100.0,6,1245,3,714,3,531,50,0,0,0,0,50,207.5,269,163,238.0,269,201,177.0,187,163,0.0,0.0,0.0,0.0,0.0,0.0
"Mission Road Ground, Mong Kok",T20,2,2,0,0,0,1,1,100.0,1,1,100.0,4,423,2,227,2,196,27,0,0,0,0,27,105.75,161,66,113.5,161,66,98.0,124,72,0.0,0.0,0.0,0.0,0.0,0.0
"Mission Road Ground, Mong Kok, Hong Kong",T20,47,44,2,1,0,27,27,100.0,17,17,100.0,94,11670,47,6600,45,5053,639,0,0,0,0,639,124.15,258,8,140.43,258,34,112.29,187,8,0.0,0.0,0.0,0.0,0.0,0.0
"Mladost Cricket Ground, Zagreb",T20,9,9,0,0,0,4,4,100.0,5,5,100.0,18,2266,9,1332,9,934,121,0,0,0,0,121,125.89,230,47,148.0,230,47,103.78,155,51,0.0,0.0,0.0,0.0,0.0,0.0
Moara Vlasiei Cricket Ground,T20,3,3,0,0,0,2,2,100.0,1,1,100.0,6,588,3,336,3,252,37,0,0,0,0,37,98.0,148,60,112.0,148,60,84.0,96,61,0.0,0.0,0.0,0.0,0.0,0.0
"Moara Vlasiei Cricket Ground, Ilfov County",T20,77,77,0,0,0,40,40,100.0,37,37,100.0,154,21803,77,11754,77,10049,1010,0,0,0,0,1010,141.58,235,41,152.65,235,41,130.51,222,42,0.0,0.0,0.0,0.0,0.0,0.0
Molyneux Park,T20,8,8,0,0,0,4,4,100.0,4,4,100.0,16,2386,8,1284,8,1102,108,0,0,0,0,108,149.12,219,99,160.5,219,99,137.75,185,101,0.0,0.0,0.0,0.0,0.0,0.0
"Molyneux Park, Alexandra",T20,16,15,1,0,0,7,7,100.0,8,8,100.0,32,4164,16,2227,16,1937,213,0,0,0,0,213,130.12,193,26,139.19,193,47,121.06,175,26,0.0,0.0,0.0,0.0,0.0,0.0
Mombasa Sports Club Ground,ODI,2,2,0,0,0,1,1,100.0,1,1,100.0,4,758,2,437,2,321,32,0,0,0,0,32,189.5,237,120,218.5,237,200,160.5,201,120,0.0,0.0,0.0,0.0,0.0,0.0
Mombasa Sports Club Ground,T20,3,3,0,0,0,1,1,100.0,2,2,100.0,6,691,3,345,3,346,39,0,0,0,0,39,115.17,132,105,115.0,131,107,115.33,132,105,0.0,0.0,0.0,0.0,0.0,0.0
"Moosa Cricket Stadium, Pearland",ODI,10,9,0,1,0,4,4,100.0,5,5,100.0,20,4397,10,2283,10,2114,150,0,0,0,0,150,219.85,323,163,228.3,323,163,211.4,274,167,0.0,0.0,0.0,0.0,0.0,0.0
Morodok Techo National Stadium,T20,4,4,0,0,0,1,1,100.0,3,3,100.0,8,363,4,204,4,159,51,0,0,0,0,51,45.38,81,26,51.0,81,26,39.75,51,28,0.0,0.0,0.0,0.0,0.0,0.0
Moses Mabhida Stadium,T20,1,1,0,0,0,1,1,100.0,0,0,0.0,2,315,1,168,1,147,15,0,0,0,0,15,157.5,168,147,168.0,168,168,147.0,147,147,0.0,0.0,0.0,0.0,0.0,0.0
Motibaug Cricket Ground,T20,13,13,0,0,0,9,9,100.0,4,4,100.0,26,2944,13,1610,13,1334,190,0,0,0,0,190,113.23,172,44,123.85,172,44,102.62,133,50,0.0,0.0,0.0,0.0,0.0,0.0
Mulpani Cricket Ground,ODI,1,1,0,0,0,1,1,100.0,0,0,0.0,2,426,1,236,1,190,16,0,0,0,0,16,213.0,236,190,236.0,236,236,190.0,190,190,0.0,0.0,0.0,0.0,0.0,0.0
Mulpani Cricket Ground,T20,27,27,0,0,0,14,14,100.0,13,13,100.0,54,7207,27,3824,27,3383,361,0,0,0,0,361,133.46,213,45,141.63,213,88,125.3,165,45,0.0,0.0,0.0,0.0,0.0,0.0
Multan Cricket Stadium,ODI,11,11,0,0,0,6,6,100.0,5,5,100.0,22,5057,11,2888,11,2169,165,0,0,0,0,165,229.86,342,104,262.55,342,161,197.18,306,104,0.0,0.0,0.0,0.0,0.0,0.0
Multan Cricket Stadium,T20,19,19,0,0,0,12,12,100.0,7,7,100.0,38,6116,19,3213,19,2903,224,0,0,0,0,224,160.95,228,108,169.11,228,108,152.79,195,110,0.0,0.0,0.0,0.0,0.0,0.0
Multan Cricket Stadium,Test,8,7,0,0,1,5,5,100.0,2,2,100.0,30,8537,8,2508,8,2791,292,0,0,0,0,292,284.57,823,123,313.5,556,163,348.88,823,137,0.0,0.0,0.0,0.0,0.0,0.0
"N'Du Stadium, Noumea, New Caledonia",T20,6,6,0,0,0,4,4,100.0,2,2,100.0,12,932,6,555,6,377,80,0,0,0,0,80,77.67,123,32,92.5,123,32,62.83,83,33,0.0,0.0,0.0,0.0,0.0,0.0
Nahar Singh Stadium,ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,456,1,226,1,230,16,0,0,0,0,16,228.0,230,226,226.0,226,226,230.0,230,230,0.0,0.0,0.0,0.0,0.0,0.0
"Nahar Singh Stadium, Faridabad",ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,198,1,97,1,101,12,0,0,0,0,12,99.0,101,97,97.0,97,97,101.0,101,101,0.0,0.0,0.0,0.0,0.0,0.0
"Namibia Cricket Ground, Windhoek",ODI,5,4,1,0,0,1,1,100.0,3,3,100.0,9,1883,5,1036,4,847,69,0,0,0,0,69,209.22,274,151,207.2,268,163,211.75,274,151,0.0,0.0,0.0,0.0,0.0,0.0
"Namibia Cricket Ground, Windhoek",T20,30,30,0,0,0,10,10,100.0,20,20,100.0,59,7425,30,3957,29,3468,325,0,0,0,0,325,125.85,230,42,131.9,230,42,119.59,200,42,0.0,0.0,0.0,0.0,0.0,0.0
Narayanganj Osmani Stadium,ODI,2,2,0,0,0,1,1,100.0,1,1,100.0,4,684,2,374,2,310,26,0,0,0,0,26,171.0,250,124,187.0,250,124,155.0,183,127,0.0,0.0,0.0,0.0,0.0,0.0
Narendra Modi Stadium,T20,5,5,0,0,0,2,2,100.0,3,3,100.0,10,1672,5,853,5,819,52,0,0,0,0,52,167.2,224,124,170.6,224,124,163.8,188,130,0.0,0.0,0.0,0.0,0.0,0.0
Narendra Modi Stadium,Test,2,2,0,0,0,0,0,0.0,2,2,100.0,7,1092,2,317,2,510,60,0,0,0,0,60,156.0,365,49,158.5,205,112,255.0,365,145,0.0,0.0,0.0,0.0,0.0,0.0
"Narendra Modi Stadium Ground 'A', Motera",T20,6,6,0,0,0,1,1,100.0,5,5,100.0,12,1600,6,804,6,796,69,0,0,0,0,69,133.33,160,87,134.0,160,87,132.67,158,89,0.0,0.0,0.0,0.0,0.0,0.0
"Narendra Modi Stadium, Ahmedabad",ODI,11,11,0,0,0,6,6,100.0,5,5,100.0,22,5061,11,2751,11,2310,183,0,0,0,0,183,230.05,356,168,250.09,356,176,210.0,283,168,0.0,0.0,0.0,0.0,0.0,0.0
"Narendra Modi Stadium, Ahmedabad",T20,49,49,0,0,0,26,26,100.0,23,23,100.0,98,17316,49,9282,49,8034,619,0,0,0,0,619,176.69,255,66,189.43,255,89,163.96,232,66,0.0,0.0,0.0,0.0,0.0,0.0
"Narendra Modi Stadium, Ahmedabad",Test,2,1,0,0,1,0,0,0.0,1,1,100.0,6,1982,2,642,2,1019,46,0,0,0,0,46,330.33,571,146,321.0,480,162,509.5,571,448,0.0,0.0,0.0,0.0,0.0,0.0
"Nassau County International Cricket Stadium, New York",T20,8,8,0,0,0,3,3,100.0,5,5,100.0,16,1709,8,861,8,848,106,0,0,0,0,106,106.81,137,77,107.62,137,77,106.0,125,80,0.0,0.0,0.0,0.0,0.0,0.0
National Cricket Stadium,ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,237,1,118,1,119,10,0,0,0,0,10,118.5,119,118,118.0,118,118,119.0,119,119,0.0,0.0,0.0,0.0,0.0,0.0
"National Cricket Stadium, Grenada",ODI,2,2,0,0,0,1,1,100.0,1,1,100.0,4,1209,2,621,2,588,31,0,0,0,0,31,302.25,418,199,310.5,418,203,294.0,389,199,0.0,0.0,0.0,0.0,0.0,0.0
"National Cricket Stadium, Grenada",T20,1,1,0,0,0,1,1,100.0,0,0,0.0,2,412,1,208,1,204,14,0,0,0,0,14,206.0,208,204,208.0,208,208,204.0,204,204,0.0,0.0,0.0,0.0,0.0,0.0
"National Cricket Stadium, St George's",ODI,12,12,0,0,0,5,5,100.0,7,7,100.0,24,5072,12,2867,12,2205,163,0,0,0,0,163,211.33,356,70,238.92,356,77,183.75,289,70,0.0,0.0,0.0,0.0,0.0,0.0
"National Cricket Stadium, St George's",T20,3,3,0,0,0,0,0,0.0,3,3,100.0,6,677,3,334,3,343,36,0,0,0,0,36,112.83,140,74,111.33,136,74,114.33,140,78,0.0,0.0,0.0,0.0,0.0,0.0
"National Cricket Stadium, St George's",Test,2,2,0,0,0,0,0,0.0,2,2,100.0,8,2109,2,536,2,696,67,0,0,0,0,67,263.62,464,144,268.0,299,237,348.0,464,232,0.0,0.0,0.0,0.0,0.0,0.0
"National Cricket Stadium, St George's, Grenada",ODI,3,3,0,0,0,2,2,100.0,1,1,100.0,6,1307,3,665,3,642,46,0,0,0,0,46,217.83,240,194,221.67,240,208,214.0,230,194,0.0,0.0,0.0,0.0,0.0,0.0
"National Cricket Stadium, St George's, Grenada",T20,10,9,1,0,0,5,5,100.0,4,4,100.0,20,2883,10,1495,10,1388,121,0,0,0,0,121,144.15,226,7,149.5,222,49,138.8,226,7,0.0,0.0,0.0,0.0,0.0,0.0
"National Cricket Stadium, St George's, Grenada",Test,2,2,0,0,0,1,1,100.0,1,1,100.0,8,1574,2,490,2,550,70,0,0,0,0,70,196.75,297,28,245.0,286,204,275.0,297,253,0.0,0.0,0.0,0.0,0.0,0.0
"National Sports Academy, Sofia",T20,16,15,1,0,0,2,2,100.0,13,13,100.0,32,4659,16,2478,16,2181,191,0,0,0,0,191,145.59,246,33,154.88,242,75,136.31,246,33,0.0,0.0,0.0,0.0,0.0,0.0
National Stadium,ODI,20,20,0,0,0,10,10,100.0,10,10,100.0,40,10221,20,5778,20,4443,273,0,0,0,0,273,255.53,374,115,288.9,374,115,222.15,310,116,0.0,0.0,0.0,0.0,0.0,0.0
National Stadium,T20,40,39,1,0,0,12,12,100.0,27,27,100.0,80,12724,40,6633,40,6091,484,0,0,0,0,484,159.05,238,40,165.82,238,68,152.28,202,40,0.0,0.0,0.0,0.0,0.0,0.0
